qPE,fprompt,subeventN,eventTime,numEarlyPulses,fmaxpe,neckVetoN,chargetopring,chargesecondring,chargebottomring,chargesecondbottomring,chargethirdbottomring,pulseindexfirstgar,nSCBayes,rprompt60Bayes,mblikelihoodX,mblikelihoodY,mblikelihoodZ,mblikelihoodR,timefit2X,timefit2Y,timefit2Z,deltat,ar40recoils,multiplerecoils
40169.5,0.267184,1,2528,0,0.0548732,0,488.729,514.319,640.495,729.737,729.775,0,35615.1,0.24531,286.97,-570.587,-389.195,747.927,-99999,-99999,-99999,1.34198e+10,1,0
11300.7,0.28181,1,2479.49,0,0.0173992,0,107.354,124.304,285.307,309.168,316.974,11,9708.3,0.266193,-45.4359,328.983,-396.041,516.859,-398.554,677.171,31.6991,1.39888e+10,14,1
12778.2,0.279231,1,2519.35,0,0.0124762,0,360.051,335.494,163.775,195.087,164.683,0,11079.2,0.260045,227.423,199.526,329.589,447.393,293.107,261.306,455.434,4.4397e+10,1,0
13340.5,0.266115,1,2496.73,0,0.0519529,0,199.884,188.567,147.2,190.12,175.7,1,11612.9,0.245994,419.241,446.147,402.092,732.454,413.786,434.741,416.847,6.37476e+09,3,1
305.884,0.664564,1,2497.57,0,0.0263064,0,10.642,8.52422,2.30039,0.339517,5.33777,0,289.607,0.669372,213.996,30.7914,271.665,347.195,251.849,-86.4141,464.473,1.28341e+10,1,0
647.765,0.6639,1,2504,0,0.0551659,0,5.32359,5.65685,44.3154,50.7121,37.9855,10,574.585,0.690434,118.629,204.318,-706.019,744.501,-99999,-99999,-99999,6.16883e+09,7,1
153.138,0.656988,1,2501.08,0,0.118709,0,0.969337,0.922775,1.16645,0.872079,3.55558,0,128.237,0.747303,-312.446,520.091,375.258,713.397,-281.232,593.37,450.42,7.79709e+09,2,1
175.629,0.615281,1,2466.36,0,0.0356543,0,1.46914,2.3506,7.22703,8.64317,6.60583,5,159.047,0.498246,102.991,-181.011,-547.414,585.692,238.289,-497.702,-598.204,1.96823e+10,5,1
17750.6,0.281198,1,2521.28,0,0.0371403,0,225.836,214.855,308.177,316.513,304.84,22,15508.6,0.267186,612.754,-157.416,-366.677,731.232,595.776,-158.695,-370.812,1.26813e+10,2,1
2345.49,0.27153,1,2529.18,1,0.119949,0,27.4267,19.7263,17.8281,35.5136,22.842,0,2026.72,0.249869,-680.504,-168.452,459.392,838.154,-632.083,-161.287,475.069,8.89154e+09,1,0
8504.91,0.312492,1,2477.3,0,0.0795941,0,95.202,87.2834,96.2592,118.116,104.603,1,7421.74,0.281183,672.173,96.0747,412.301,794.38,656.237,102.689,429.205,7.63013e+09,12,1
11108.4,0.309318,1,2496.99,0,0.0274272,0,158.774,129.684,162.63,185.201,184.486,0,9677.69,0.270545,-457.188,408.29,-218.929,650.885,-483.536,439.173,-214.797,1.38855e+10,10,1
792.096,0.653225,2,2463.48,0,0.0346308,0,10.9143,14.5475,19.2269,14.5191,15.4004,5,701.422,0.518829,253.579,-165.77,-299.46,425.979,-99999,-99999,-99999,1.25402e+10,9,1
3626.78,0.702019,1,2464.31,0,0.00913167,0,35.6052,62.0101,55.433,75.5556,83.3567,1,3281.68,0.698228,-334.417,49.1148,-122.603,359.553,-523.239,188.852,-527.414,3.96986e+09,17,1
86.814,0.407516,1,2460,0,0.0469572,0,2.79616,1.413,0,0,2.33568,3,79.3312,0.298635,-274.093,-510.616,-7.44969,579.578,-99999,-99999,-99999,1.05489e+09,9,1
10872.6,0.291709,1,2487.04,0,0.0522834,0,148.824,135.458,143.945,218.734,156.165,0,9433.59,0.276261,587.071,416.19,-143.592,733.815,602.606,415.884,-140.865,2.8364e+10,2,1
101.058,0.451191,1,2438.9,0,0.229879,0,2.20924,2.53139,3.13745,1.31123,0,4,93.6608,0.496834,-614.611,-309.596,-498.721,849.894,-620.864,-315.237,-459.011,3.88601e+09,3,1
10474,0.286638,1,2494.17,0,0.0392276,0,118.285,105.076,248.217,269.507,291.009,1,9124.55,0.267357,-228.257,-434.44,-481.078,687.223,-228.572,-438.555,-488.15,1.11769e+09,3,1
21717.4,0.30067,1,2525.03,0,0.0435194,0,264.103,243.333,315.582,390.848,422.114,11,19084.1,0.281048,599.676,17.9659,-416.279,730.22,574.83,40.4742,-434.932,3.09451e+10,8,1
2432.99,0.342096,1,2527.38,0,0.0651821,0,29.5045,14.4679,44.7574,55.8116,28.5133,15,2118.22,0.331738,596.789,11.4407,-521.322,792.505,589.468,36.5564,-525.649,8.31047e+08,1,0
38369.3,0.275687,1,2538.27,1,0.00740348,0,640.799,644.086,608.314,756.623,731.32,1,33495.1,0.255626,119.775,184.568,-28.8857,221.914,187.415,208.673,19.5507,5.04481e+07,3,1
42.538,0.631214,1,2477.96,0,0.0841788,0,1.50227,1.72837,0.63368,0,0,0,43.5271,0.636648,124.845,-530.07,545.369,770.706,-99999,-99999,-99999,1.07196e+10,1,0
373.352,0.671518,1,2504.53,0,0.0736416,0,3.70568,8.01024,4.8283,12.25,4.63684,4,336.586,0.682956,583.346,-492.322,-144.193,776.83,122.275,-818.862,-115.368,1.29248e+10,6,1
10692.7,0.278247,1,2490.44,0,0.021772,0,108.775,139.017,165.353,180.448,206.861,8,9216.18,0.260557,328.457,-494.535,-161.659,615.29,357.357,-502.732,-176.891,1.14696e+10,2,1
10402.2,0.283048,1,2484.19,0,0.0142957,0,288.388,275.887,149.535,137.184,117.782,1,9012.24,0.261338,69.8322,-353.785,330.765,489.332,109.565,-402.456,414.303,6.0004e+09,1,0
259.969,0.646365,1,2467.12,0,0.08482,0,0,3.31074,4.95317,6.5144,2.71616,2,235.682,0.65717,-205.362,-648.731,440.321,810.499,-218.529,-624.414,475.999,1.10361e+08,1,0
1484.97,0.678633,1,2448.78,0,0.0249556,0,22.9152,43.0041,19.4668,13.3043,29.8888,5,1314.23,0.485615,-514.035,67.8676,-27.8481,519.243,-641.792,8.98066,-223.136,3.29025e+09,9,1
5153.71,0.282293,2,8980.06,0,0.0295457,0,64.2387,57.2103,84.4764,64.2439,45.0981,0,4532.78,0.250368,-168.971,-632.3,327.794,731.986,-99999,-99999,-99999,6.9418e+09,1,0
27926.4,0.18664,2,2520.57,1,0.0290569,0,355.086,348.755,507.746,654.757,648.873,0,18032.6,0.234812,391.058,-129.957,-502.012,649.485,-99999,-99999,-99999,2.40903e+10,2,1
89.9836,0.47993,1,2482.48,0,0.242112,0,2.19811,0,1.06959,0,0,3,69.0362,0.530268,672.81,-315.362,-412.747,849.992,671.383,-296.337,-399.875,6.88736e+09,1,0
27008.8,0.286974,1,2544,0,0.0145938,0,375.943,349.971,381.119,461.359,407.293,2,23643.5,0.264732,-562.471,44.5639,-10.3636,564.328,-344.473,-616.839,272.134,6.8363e+09,10,1
3652.03,0.596764,1,2431.59,0,0.0199454,0,88.342,73.6043,36.2772,48.3845,56.4319,1,3188.75,0.417513,-237.726,300.456,154.208,412.998,-485.157,580.872,175.592,4.84617e+08,25,1
221.566,0.619385,1,2383.64,0,0.0609907,0,3.66695,3.98692,3.94759,5.56615,4.14719,13,202.846,0.581568,20.3375,-740.585,-74.183,744.569,110.04,-757.954,-111.347,4.32599e+09,5,1
12238,0.329927,1,2523.74,0,0.0331393,0,159.061,138.667,531.19,764.959,627.339,12,10692.3,0.315303,15.7456,-286.565,-642.732,703.898,10.8035,-335.775,-656.844,1.3872e+10,2,1
75.1572,0.688242,1,2481.58,0,0.0924574,0,1.02466,0,2.2138,0.866871,2.67948,7,68.4165,0.717258,328.249,-755.419,62.5057,826.022,331.984,-736.536,26.7059,3.04071e+09,1,0
744.304,0.694783,1,2494.56,0,0.13066,0,10.9579,5.83864,8.86779,13.5343,11.0145,3,672.224,0.729875,-620.226,-334.023,-437.602,829.305,-628.187,-313.277,-450.016,7.33893e+09,3,1
9550.83,0.285956,1,2483.73,2,0.135695,0,92.0322,115.224,142.938,155.764,140.444,5,8355.16,0.267267,652.824,101.039,-485.368,819.738,615.697,125.023,-515.175,3.38355e+09,1,0
281.455,0.655482,1,2487.65,0,0.0758363,0,7.0951,1.6929,7.42812,2.68235,0.850672,10,258.161,0.688484,-583.658,-566.741,122.781,822.756,-552.683,-562.796,122.416,4.9858e+09,4,1
10909.7,0.291855,1,2491.3,0,0.00756486,0,144.99,165.087,185.815,239.227,210.527,6,9478.84,0.263142,95.9138,174.681,-166.837,259.899,670.064,-92.8412,-482.614,5.14203e+09,10,1
12529.9,0.301823,1,2463.04,0,0.0102137,0,231.196,199.171,187.777,230.053,216.731,0,10682.8,0.13755,249.733,30.9279,30.2753,253.455,-541.299,321.752,512.729,1.98802e+10,14,1
303.14,0.66646,1,2498.43,0,0.0547214,0,8.99898,1.23791,1.5438,7.49663,3.81059,4,269.638,0.717254,222.164,738.779,-352.224,848.064,223.992,680.058,-223.277,3.41048e+09,1,0
47154.5,0.268424,1,2560,0,0.0529019,0,511.661,587.963,601.804,722.835,646.804,8,42069.4,0.244504,-394.94,656.093,-117.053,774.685,-399.88,693.65,-157.566,6.20912e+09,3,1
362.102,0.719669,1,2495.97,0,0.0434448,0,6.34643,1.0309,4.52555,1.07735,6.07393,3,339.076,0.726862,-602.108,329.198,163.538,705.443,-648.785,371.408,144.825,4.16125e+09,3,1
22136,0.301737,1,2532.52,1,0.0184889,0,266.882,287.492,339.315,495.575,528.36,22,19357.2,0.290978,-405.179,-43.3084,-303.368,508.013,-331.439,-298.251,-379.982,1.54899e+10,6,1
15504.9,0.284522,1,2508.5,0,0.0312904,0,225.003,196.596,215.383,235.507,273.445,19,13498.7,0.258557,-524.742,344.824,-237.57,671.34,-540.073,369.226,-202.535,2.38347e+09,11,1
10521.1,0.293014,1,2501.41,0,0.02884,0,160.688,192.855,114.11,170.612,121.55,0,9121.05,0.265444,-90.7012,-558.335,338.743,659.326,-62.0693,-581.591,358.429,1.30684e+10,3,1
1791.66,0.698388,1,2485.23,1,0.0450755,0,16.9617,26.7015,25.0977,28.2596,21.0122,1,1621.86,0.702769,-551.474,-268.071,237.865,657.696,-701.258,-267.918,269.894,2.08863e+09,10,1
125.593,0.413135,1,2452.01,0,0.184563,0,2.6943,0.653257,1.13919,4.36839,0.990694,0,97.913,0.491186,-493.932,-346.902,107.769,613.127,-406.452,-692.714,222.258,1.5962e+10,3,1
