qPE,fprompt,subeventN,eventTime,numEarlyPulses,fmaxpe,neckVetoN,chargetopring,chargesecondring,chargebottomring,chargesecondbottomring,chargethirdbottomring,pulseindexfirstgar,nSCBayes,rprompt60Bayes,mblikelihoodX,mblikelihoodY,mblikelihoodZ,mblikelihoodR,timefit2X,timefit2Y,timefit2Z,deltat,ar40recoils,multiplerecoils
15804.7,0.265754,1,2518.83,2,0.0416456,0,245.625,273.146,181.621,239.033,182.295,0,13662.4,0.247991,566.928,-131.059,440.692,729.927,587.373,-138.528,453.669,520355000,0,0
15662.2,0.267448,1,2516,0,0.0873171,0,190.242,183.538,218.316,259.457,226.514,0,13702.2,0.243944,-329.303,696.187,-242.499,807.417,-99999,-99999,-99999,2644790000,0,0
157.453,0.499643,1,2456.77,0,0.0617386,0,0,0,1.33412,11.2865,6.69351,13,140.396,0.513414,-365.933,-172.459,-544.697,678.487,-344.374,-36.3245,-477.15,3205730000,5,1
768.805,0.655519,1,2482.61,0,0.0343277,0,30.5397,41.296,11.4417,5.95432,9.08664,0,677.133,0.704796,-24.0359,-276.945,269.986,387.516,-80.5611,-243.062,337.819,3551060000,3,1
12634.1,0.344082,1,2503.94,0,0.00778771,0,273.775,301.848,201.053,225.377,155.323,0,10924.2,0.308458,-105.952,159.988,131.519,232.635,-604.496,-334.919,474.763,0,21,1
23218.2,0.267466,1,2510.64,0,0.0114682,0,687.212,759.428,302.827,336.332,316.89,0,20083.2,0.253623,-215.305,123.167,294.137,384.763,-224.885,153.282,351.009,50688600,0,0
35628.7,0.268084,1,2538.86,0,0.023419,0,461.07,515.697,491.805,504.073,501.567,7,31250.4,0.246891,-219.76,-583.179,31.7289,624.018,-262.276,-615.002,23.0727,1830030000,0,0
24261.2,0.286619,1,2532.6,1,0.0277506,0,305.786,305.567,374.174,446.046,382.81,0,21148.4,0.265171,509.712,89.9947,-257.602,578.156,608.362,537.131,175.217,1765310000,9,1
22711.6,0.313756,1,2541.17,0,0.0212037,0,365.499,395.961,361.389,322.927,331.836,0,19677.9,0.300306,-396.471,389.266,373.337,669.401,-416.085,441.227,432.932,1159900000,13,1
108.368,0.652245,1,2500.69,0,0.0850904,0,0,2.88349,0,1.31736,0.865904,1,104.76,0.656069,-535.154,-444.224,374.882,790.102,-545.018,-485.913,401.178,4727730000,1,0
22955.4,0.27885,1,2525.68,0,0.0398353,0,264.316,273.059,342.27,365.256,338.191,12,20068.1,0.263748,404.478,-545.243,-148.512,694.945,408.425,-560.457,-134.165,472922000,5,1
39266,0.273683,1,2532.42,3,0.0196064,0,436.09,479.384,1057.76,1130.93,1159.28,2,34459,0.251603,-211.836,-321.461,-403.131,557.428,-208.588,-373.217,-417.941,71298100,1,0
15671.3,0.271386,1,2524,1,0.0185144,0,207.07,222.415,224.976,251.352,255.433,1,13578.4,0.255263,512.515,-199.989,79.2341,555.828,-99999,-99999,-99999,8059780,0,0
15282.4,0.274172,1,2496.75,0,0.063016,0,171.563,183.175,180.276,224.625,186.659,1,13325.6,0.256268,-644.255,-319.458,306.734,781.795,-631.919,-332.209,278.933,0,0,0
76.3105,0.793247,1,2506.8,2,0.0990312,0,2.32837,0.469943,1.76501,1.12948,0,6,81.9864,0.745785,666.51,438.906,-292.444,849.939,646.529,393.857,-274.447,621286000,1,0
128.508,0.347484,1,2506.09,0,0.122983,0,0.590371,0.596298,1.36143,2.75212,4.56486,6,132.845,0.31648,-404.744,365.269,-616.844,823.247,-308.363,390.442,-651.748,1150790000,0,0
2848.17,0.266827,1,2518.6,0,0.0417739,0,34.1203,35.3085,241.436,205.568,196.26,12,2460.69,0.252148,-155.729,96.3412,-693.675,717.438,-216.718,64.9086,-696.904,1893650000,0,0
18596.1,0.285512,1,2512.64,0,0.044039,0,218.506,239.261,229.005,285.69,228.62,4,16156.5,0.266185,-356.135,-621.86,187.863,740.834,-406.204,-694.137,231.877,2447860000,1,0
15933.4,0.272288,1,2519.58,0,0.0354247,0,316.967,289.878,179.396,192.814,204.899,1,13777.7,0.258014,296.833,448.755,422.866,684.329,313.206,461.632,429.645,0,0,0
548.268,0.698259,1,2502.72,0,0.0598896,0,1.74942,7.0344,11.5496,6.39994,8.03656,5,498.755,0.714502,-563.041,320.112,-394.073,758.142,-516.679,498.112,-430.587,27990800,8,1
13808.6,0.262405,1,2495.12,0,0.0875016,0,155.221,129.569,187.53,193.261,194.647,12,12044.5,0.24157,410.729,-646.202,-249.246,805.232,404.243,-636.821,-220.539,244722000,0,0
28460.4,0.286596,1,2532.47,0,0.00969596,0,711.916,722.556,449.39,456.335,410.861,0,24799.3,0.265128,-201.91,256.638,238.945,404.63,-248.408,299.131,327.548,1811490000,10,1
798.1,0.67758,1,2502.56,0,0.087247,0,16.5341,9.68321,4.0515,9.6733,9.39648,1,727.546,0.703568,708.955,355.383,-191.426,815.818,690.046,344.258,-210.778,1098400000,4,1
41995.1,0.270051,1,2541.41,0,0.0382546,0,531.905,540.951,650.863,766.963,719.481,19,37115.4,0.250082,64.754,-641.636,-329.27,724.092,51.4626,-605.429,-314.945,374513000,0,0
50.2928,0.880256,1,2505.88,0,0.330699,0,0,0,0,0,1.77402,9,47.6613,0.93304,-605.173,-342.137,-487.783,849.25,-99999,-99999,-99999,682334000,0,0
43289.9,0.274078,1,2538.74,0,0.00954033,0,679.363,761.056,635.644,765.724,648.135,0,37771,0.256439,-244.728,-322.971,93.9616,415.97,-284.084,-386.961,143.324,71423800,0,0
42638.9,0.273452,1,2546.08,1,0.00732853,0,964.92,912.093,615.335,730.852,755.709,1,37340.9,0.254267,-126.519,-113.36,119.55,207.725,-121.162,-132.327,202.247,2727800000,0,0
121.726,0.618669,1,2476.34,0,0.0515151,0,0,0.976882,2.11931,0.561585,0.914609,2,123.636,0.615877,378.65,602.46,173.39,732.392,298.383,632.14,166.838,0,4,1
7847.17,0.290325,1,2473.29,0,0.0512091,0,69.3915,113.065,117.917,127.606,103.317,5,6724.77,0.278171,675.828,269.768,81.9161,732.276,744.766,266.521,76.0382,181733000,5,1
27.2003,0.88033,1,2480,2,0.797038,0,1.02555,21.6797,0,0,0,0,26.1841,0.896559,110.286,-324.62,777.761,849.973,-99999,-99999,-99999,1806120000,0,0
17277,0.269224,1,2516,0,0.0859127,0,195.785,223.686,547.815,734.983,1055.73,10,15256.8,0.245971,-24.7129,-420.363,-712.336,827.489,-36.0173,-408.405,-725.378,258520000,0,0
43299,0.269383,1,2526,0,0.01399,0,543.025,580.589,2096.1,2183.59,1913.53,23,37940.8,0.252675,76.4865,100.806,-568.062,581.985,115.031,122.677,-559.796,1485450000,0,0
385.197,0.649081,1,2494.31,0,0.107951,0,8.38478,3.77704,3.16776,4.19488,4.93838,1,352.608,0.679222,-558.825,-239.034,-593.805,849.722,-521.68,-231.624,-562.536,1477860000,2,1
71.4511,0.482111,1,2401.21,0,0.122543,0,0,1.27617,1.09495,0,1.85577,5,57.7254,0.346887,-437.003,-596.706,242.594,778.384,-426.53,-648.963,302.252,147246000,2,1
3732.67,0.279208,1,2544.03,0,0.0262726,0,73.3658,76.0712,44.451,53.5236,34.8123,0,3205.78,0.265959,439.741,-176.399,390.377,613.908,468.357,-237.856,511.4,559867000,0,0
14654.6,0.27616,1,2518.67,1,0.0412715,0,218.569,253.864,190.83,208.7,171.777,2,12745.3,0.252416,-528.831,-159.547,447.564,710.937,-550.969,-194.788,498.127,0,0,0
20537.2,0.322762,1,2530.38,0,0.0268208,0,257.956,283.131,411.494,509.376,509.434,0,17936,0.276621,-298.075,352.135,-373.465,593.568,-351.594,392.61,-429.183,2940180000,23,1
12361.4,0.274154,1,2499.79,1,0.0392258,0,150.556,148.938,151.728,185.063,201.837,2,10711.4,0.254701,-364.062,610.094,39.8093,711.576,-418.847,671.006,33.0647,890796000,0,0
4093.25,0.262943,1,2528.81,0,0.0606242,0,60.1896,34.577,82.8326,66.2731,79.0746,13,3512.78,0.249956,-309.57,501.528,-489.73,766.29,-331.37,502.104,-495.947,64792400,0,0
1816.56,0.266798,1,2537.54,0,0.0270518,0,16.7437,21.41,33.6556,22.6813,27.324,0,1554.16,0.241042,-296.813,524.475,274.6,662.252,-146.384,649.222,268.688,551309000,0,0
331.331,0.321104,1,2539.51,0,0.242966,0,2.18894,2.45923,1.57321,7.34288,4.12145,3,296.343,0.299608,-85.1957,807.342,-250.163,849.495,-94.894,791.709,-254.887,417500000,0,0
148.1,0.360338,1,2307.69,0,0.0734409,0,0.683739,2.00921,0,3.19823,6.21999,3,133.886,0.344809,-749.104,19.5224,399.056,848.99,-483.652,-424.366,-531.563,1831580000,5,1
24.4793,0.831272,1,2444,0,0.628764,0,0,0,0,0,0.219962,1,23.8313,0.913054,89.0482,-843.508,53.8835,849.905,-99999,-99999,-99999,2415270000,0,0
29536,0.285687,1,2533.01,0,0.0365648,0,336.492,344.836,408.16,447.857,400.009,5,25812,0.270817,677.814,229.559,-34.2118,716.449,701.805,231.63,-32.4989,0,4,1
9839.05,0.271386,1,2500.09,0,0.0221707,0,130.19,137.373,220.811,248.848,242.702,0,8498.65,0.253202,-280.275,-319.096,-433.224,606.678,-282.196,-324.36,-454.546,77027600,0,0
16448,0.272564,1,2502.23,0,0.0329381,0,218.925,188.394,223.218,269.697,182.44,8,14198.2,0.250092,294.072,-636.289,-4.49,700.972,339.87,-633.9,-8.9455,1768810000,2,1
15739.5,0.284123,1,2525.38,0,0.00983159,0,207.84,264.542,296.337,323.416,315.177,1,13635.8,0.265517,-185.613,284.335,-172.23,380.738,-187.858,301.037,-131.756,158061000,0,0
299.365,0.692279,1,2482.24,0,0.0299984,0,0.833301,5.76242,0.928866,6.46012,6.34409,0,284.155,0.650995,538.039,231.431,198.488,618.42,167.585,192.304,307.768,1276890000,4,1
293.189,0.75131,1,2498.33,1,0.112216,0,0,2.66717,4.20667,2.2003,1.93847,5,288.05,0.715092,625.176,-528.002,42.7994,819.429,630.7,-496.694,68.3595,625304000,1,0
15855.9,0.276466,1,2514.32,1,0.011737,0,409.465,374.458,218.865,237.044,218.664,0,13771.1,0.257448,-201.467,-210.696,243.874,380.074,-298.706,-250.572,360.949,1419910000,3,1
24088.7,0.270517,1,2517.54,0,0.0230189,0,268.782,290.224,508.985,575.285,507.725,7,20993.4,0.252546,277.782,-403.013,-422.591,646.657,285.846,-398.146,-428.243,409913000,0,0
43281,0.266051,1,2541.04,0,0.0446553,0,553.023,538.184,1853.02,2626.77,2726.32,26,38351,0.2415,-173.059,-265.566,-672.474,743.435,-202.038,-261.703,-643.302,585605000,0,0
42080.7,0.272091,1,2529.03,0,0.0169411,0,1076.82,1055.32,552.354,599.531,520.224,1,36839,0.254799,224.386,-346.159,340.732,535.045,225.854,-399.748,387.576,0,1,0
39872,0.269609,1,2547.66,0,0.0337983,0,485.285,519.045,858.039,941.921,986.703,10,35146.9,0.247161,-136.639,509.368,-417.841,672.843,-160.34,539.997,-437.014,2000420000,0,0
11595,0.311494,1,2509.05,0,0.0503746,0,146.43,161.191,146.24,154.394,127.949,0,9999.32,0.300094,-260.76,-609.588,354.037,751.621,-287.987,-567.033,352.483,876416000,4,1
7197.39,0.262405,2,6428.92,0,0.0364928,0,92.6531,80.8128,110.739,94.0937,82.3029,6,6246.29,0.232988,429.845,527.476,59.6062,683.045,-99999,-99999,-99999,736408000,1,0
43658.9,0.279869,1,2546.88,2,0.010005,0,586.812,628.688,934.121,980.092,909.634,5,38076.8,0.262807,71.6805,-326.097,-258.692,422.373,-75.0731,-648.956,-414.198,705642000,0,0
18222.1,0.287032,1,2522.12,0,0.0154728,0,218.815,275.26,628.132,697.912,671.942,14,15781.9,0.271998,271.504,48.0303,-474.244,548.57,319.811,74.0144,-488.413,1100620000,6,1
